category,view,method,image_auroc,image_average_precision,image_f1_oracle,image_threshold_oracle,product_accuracy_oracle,threshold_train_normal,product_accuracy_train_normal,pixel_auroc,pixel_average_precision,pixel_f1_oracle,pixel_threshold_oracle,aupro_0.30,mask_iou_oracle,dice_oracle,inference_ms
transistor1,C1,single_view_patchcore,0.92402039,0.94972874,0.91221374,0.30726609,0.87749667,0.38605252,0.50066578,0.97535237,0.19230070,0.23880507,0.42211914,0.89703757,0.13559264,0.23880507,8.65691090
transistor1,C2,single_view_patchcore,0.95786571,0.97827673,0.92721834,0.29593164,0.90279627,0.30684876,0.89747004,0.99116829,0.41081942,0.39151523,0.38476562,0.95730335,0.24340624,0.39151523,8.56080151
transistor1,C3,single_view_patchcore,0.92959982,0.96902459,0.90569948,0.25830966,0.87882823,0.30788794,0.75099867,0.99547621,0.28475422,0.34297592,0.38354492,0.97810310,0.20698306,0.34297592,8.59226227
transistor1,C4,single_view_patchcore,0.97999102,0.98668471,0.96786758,0.30111736,0.95605859,0.35393015,0.86018642,0.98673383,0.35536651,0.37899636,0.40673828,0.93724831,0.23380352,0.37899636,8.53269291
transistor1,C5,single_view_patchcore,0.91812031,0.95889230,0.89369708,0.25126544,0.84953395,0.37129828,0.63781625,0.99425846,0.25659773,0.31303433,0.37890625,0.97264048,0.18556058,0.31303433,8.53091049
plastic_nut,C1,single_view_patchcore,0.91099602,0.93087779,0.90840415,0.26138631,0.87083888,0.28412640,0.80292943,0.96354089,0.06016447,0.16089913,0.39111328,0.82725510,0.08748793,0.16089913,8.91332531
plastic_nut,C2,single_view_patchcore,0.99063745,0.99116203,0.98608350,0.31087342,0.98135819,0.28714040,0.96005326,0.98635981,0.20537268,0.26076774,0.37695312,0.93289675,0.14993267,0.26076774,8.85606766
plastic_nut,C3,single_view_patchcore,0.82494821,0.89592043,0.84436494,0.26186672,0.76830892,0.31481624,0.63648469,0.99096545,0.23244459,0.29091051,0.38232422,0.95874602,0.17021374,0.29091051,8.84305096
plastic_nut,C4,single_view_patchcore,0.95233466,0.96426909,0.93924783,0.30418435,0.91611185,0.36812484,0.76697736,0.97895445,0.17580262,0.26637602,0.40478516,0.88852885,0.15365271,0.26637602,8.83123589
plastic_nut,C5,single_view_patchcore,0.91794422,0.91067178,0.95128940,0.28961906,0.93209055,0.32545859,0.81091877,0.98396641,0.13394068,0.22587940,0.40283203,0.92596794,0.12731908,0.22587940,8.79243088
pcb,C1,single_view_patchcore,0.87590046,0.92280679,0.89058040,0.30247006,0.84768212,0.43233413,0.39867550,0.98369929,0.32389133,0.40261864,0.35595703,0.87873195,0.25204917,0.40261864,8.90843582
pcb,C2,single_view_patchcore,0.86724727,0.93813595,0.84916201,0.28290382,0.78543046,0.32246965,0.67814570,0.99018910,0.31356116,0.43055866,0.34448242,0.92972251,0.27433880,0.43055866,8.82263374
pcb,C3,single_view_patchcore,0.85660549,0.92740065,0.85556578,0.27806950,0.79205298,0.32948622,0.64238411,0.98614796,0.32319880,0.41246989,0.34008789,0.89524175,0.25981863,0.41246989,8.86700535
pcb,C4,single_view_patchcore,0.89133004,0.94321374,0.88212928,0.28325257,0.83576159,0.30571175,0.73774834,0.98527580,0.24833000,0.36609598,0.33593750,0.90062041,0.22406211,0.36609598,8.79778290
pcb,C5,single_view_patchcore,0.87113262,0.93784645,0.85818182,0.28794697,0.79337748,0.31643769,0.74437086,0.98688750,0.35872668,0.42620644,0.35864258,0.89037265,0.27081471,0.42620644,8.81209183
terminalblock,C1,single_view_patchcore,0.88614278,0.93849999,0.87778769,0.24799207,0.82114883,0.34890011,0.61488251,0.99626841,0.26073344,0.33684557,0.35742188,0.97908033,0.20253415,0.33684557,9.00832081
terminalblock,C2,single_view_patchcore,0.91090496,0.94277203,0.91465677,0.27926213,0.87989556,0.32893467,0.65926893,0.96205034,0.17456985,0.26064781,0.36059570,0.83254348,0.14985339,0.26064781,8.93726158
terminalblock,C3,single_view_patchcore,0.93789392,0.96774622,0.92641509,0.28527737,0.89817232,0.31854972,0.73498695,0.98736239,0.29065308,0.34789366,0.36596680,0.92233148,0.21057583,0.34789366,8.92282772
terminalblock,C4,single_view_patchcore,0.94657287,0.97166978,0.93382353,0.29785773,0.90600522,0.31539744,0.86422977,0.96410256,0.16911746,0.24382464,0.37939453,0.84537549,0.13883844,0.24382464,8.89966297
terminalblock,C5,single_view_patchcore,0.91465036,0.95277325,0.89818182,0.27302319,0.85378590,0.29812396,0.77415144,0.93488292,0.13256236,0.20364990,0.37646484,0.76301013,0.11336872,0.20364990,8.89687634
