group_id,category,split,sample_key,sample_number,normal_class,anomaly_class,metadata_anomaly_class,metadata_label_matches_filename,rows,distinct_views,observed_views,missing_views,duplicate_views,five_rows,expected_camera_set,no_duplicate_cameras,single_category,single_split,single_sample_key,single_meta_prefix,single_normal_class,unique_image_paths,all_images_exist,declared_masks_exist,all_masks_correspond,all_categories_match,all_labels_match_filenames,valid_five_view_group
pcb::pcb_0001_NG_HS,pcb,test,pcb_0001_NG_HS,0001,OK,NG_HS,HS,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0001_NG_QS,pcb,test,pcb_0001_NG_QS,0001,OK,NG_QS,QS,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0001_NG_YW,pcb,test,pcb_0001_NG_YW,0001,OK,NG_YW,YW,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0001_NG_ZW,pcb,test,pcb_0001_NG_ZW,0001,OK,NG_ZW,ZW,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0001_OK,pcb,test,pcb_0001_OK,0001,OK,OK,OK,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0002_NG_HS,pcb,test,pcb_0002_NG_HS,0002,OK,NG_HS,OK,False,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0002_NG_QS,pcb,test,pcb_0002_NG_QS,0002,OK,NG_QS,OK,False,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0002_NG_YW,pcb,test,pcb_0002_NG_YW,0002,OK,NG_YW,YW,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0002_NG_ZW,pcb,test,pcb_0002_NG_ZW,0002,OK,NG_ZW,ZW,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0002_OK,pcb,test,pcb_0002_OK,0002,OK,OK,OK,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0003_NG_HS,pcb,test,pcb_0003_NG_HS,0003,OK,NG_HS,HS,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0003_NG_QS,pcb,test,pcb_0003_NG_QS,0003,OK,NG_QS,QS,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0003_NG_YW,pcb,test,pcb_0003_NG_YW,0003,OK,NG_YW,YW,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0003_NG_ZW,pcb,test,pcb_0003_NG_ZW,0003,OK,NG_ZW,ZW,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0003_OK,pcb,test,pcb_0003_OK,0003,OK,OK,OK,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0004_NG_HS,pcb,test,pcb_0004_NG_HS,0004,OK,NG_HS,OK,False,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0004_NG_QS,pcb,test,pcb_0004_NG_QS,0004,OK,NG_QS,QS,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0004_NG_YW,pcb,test,pcb_0004_NG_YW,0004,OK,NG_YW,YW,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0004_NG_ZW,pcb,test,pcb_0004_NG_ZW,0004,OK,NG_ZW,ZW,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0004_OK,pcb,train,pcb_0004_OK,0004,OK,OK,OK,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0005_NG_HS,pcb,test,pcb_0005_NG_HS,0005,OK,NG_HS,OK,False,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
