category,method,is_primary,n_test_items,image_auroc,image_average_precision,image_f1_oracle,image_threshold_oracle,product_accuracy_oracle,threshold_train_normal,product_accuracy_train_normal,inference_ms,inference_ms_per_five_view_item
transistor1,five_view_mean,True,751,0.99366703,0.99651200,0.97647059,0.29467812,0.96804261,0.32678318,0.92676431,43.11402893,43.11402893
transistor1,five_view_max,False,751,0.98090489,0.98859041,0.95841584,0.34911221,0.94407457,0.40037268,0.88015979,43.11402893,43.11402893
transistor1,five_view_confidence,False,751,0.97692073,0.98600074,0.94947569,0.31121388,0.92942743,0.38861352,0.87483356,43.11402893,43.11402893
plastic_nut,five_view_mean,True,751,0.98345817,0.98548576,0.97647059,0.30356991,0.96804261,0.29319733,0.96138482,44.50050735,44.50050735
plastic_nut,five_view_max,False,751,0.92948207,0.92026989,0.94239849,0.33563766,0.91877497,0.36812484,0.89081225,44.50050735,44.50050735
plastic_nut,five_view_confidence,False,751,0.92059761,0.91043650,0.94908742,0.32318792,0.92942743,0.33236650,0.90812250,44.50050735,44.50050735
pcb,five_view_mean,True,755,0.91424282,0.95736371,0.89233754,0.29336056,0.85298013,0.32243371,0.70331126,44.46397400,44.46397400
pcb,five_view_max,False,755,0.88146693,0.93263236,0.88679245,0.30991903,0.84105960,0.43233413,0.44105960,44.46397400,44.46397400
pcb,five_view_confidence,False,755,0.87817656,0.93029102,0.88240828,0.30007407,0.83443709,0.42903134,0.43178808,44.46397400,44.46397400
terminalblock,five_view_mean,True,766,0.96633855,0.97977133,0.96165192,0.29724437,0.94908616,0.28708759,0.94386423,44.91310501,44.91310501
terminalblock,five_view_max,False,766,0.94699777,0.96718152,0.94049904,0.33126298,0.91906005,0.35197917,0.84856397,44.91310501,44.91310501
terminalblock,five_view_confidence,False,766,0.94300844,0.96554462,0.93422307,0.32362419,0.90992167,0.35143670,0.82245431,44.91310501,44.91310501
