category,view_count,selected_views,fusion,image_auroc,image_average_precision,image_f1_oracle,image_threshold_oracle,product_accuracy_oracle,threshold_train_normal,product_accuracy_train_normal,inference_ms_measured_components
transistor1,1,C1,mean,0.92402039,0.94972874,0.91221374,0.30726609,0.87749667,0.38605252,0.50066578,8.65691072
transistor1,3,"C1,C3,C5",mean,0.98003110,0.98992508,0.95608782,0.28902391,0.94141145,0.33404219,0.78295606,25.78008342
transistor1,5,"C1,C2,C3,C4,C5",mean,0.99366703,0.99651200,0.97647059,0.29467812,0.96804261,0.32678318,0.92676431,42.87357759
plastic_nut,1,C1,mean,0.91099602,0.93087779,0.90840415,0.26138631,0.87083888,0.28412640,0.80292943,8.91332567
plastic_nut,3,"C1,C3,C5",mean,0.94926693,0.95501846,0.95110259,0.28679642,0.93209055,0.29618594,0.91078562,26.54880714
plastic_nut,5,"C1,C2,C3,C4,C5",mean,0.98345817,0.98548576,0.97647059,0.30356991,0.96804261,0.29319733,0.96138482,44.23611069
pcb,1,C1,mean,0.87590046,0.92280679,0.89058040,0.30247006,0.84768212,0.43233413,0.39867550,8.90843618
pcb,3,"C1,C3,C5",mean,0.89812641,0.94823094,0.87853881,0.28990385,0.82384106,0.34564674,0.61854305,26.58753300
pcb,5,"C1,C2,C3,C4,C5",mean,0.91424282,0.95736371,0.89233754,0.29336056,0.85298013,0.32243371,0.70331126,44.20794916
terminalblock,1,C1,mean,0.88614278,0.93849999,0.87778769,0.24799207,0.82114883,0.34890011,0.61488251,9.00832057
terminalblock,3,"C1,C3,C5",mean,0.95606229,0.97650197,0.93690249,0.28205279,0.91383812,0.29921189,0.87728460,26.82802534
terminalblock,5,"C1,C2,C3,C4,C5",mean,0.96633855,0.97977133,0.96165192,0.29724437,0.94908616,0.28708759,0.94386423,44.66494989
